MagX;MagY;MagZ;AccX;AccY;AccZ;GyroR;GyroP;GyroY
-144;590;1;2;354;-515;-534;-529;0
-147;585;1;2;353;-515;-535;-530;0
-148;589;1;1;354;-516;-534;-530;0
-146;590;1;1;354;-515;-534;-529;0
-145;589;1;1;355;-516;-534;-529;0
-145;589;1;2;355;-515;-534;-530;0
-145;588;1;2;354;-516;-534;-529;0
-151;591;1;2;354;-515;-534;-530;0
-151;587;1;2;354;-515;-534;-530;0
-152;587;1;2;353;-515;-534;-529;0
-152;591;1;2;353;-515;-534;-530;0
-148;589;1;2;353;-515;-534;-530;0
-150;589;1;2;353;-516;-534;-530;0
-144;589;1;2;353;-516;-534;-529;0
-147;591;1;2;354;-516;-534;-529;0
-147;590;1;2;353;-516;-534;-530;0
-145;590;1;2;352;-516;-534;-529;0
-144;587;1;2;354;-516;-534;-530;0
-149;591;1;2;353;-516;-534;-529;0
-146;590;1;2;353;-516;-534;-529;0
-150;588;1;1;354;-516;-534;-529;0
-152;591;1;1;354;-515;-533;-530;0
-152;588;1;2;354;-516;-534;-530;0
-157;590;1;1;354;-516;-534;-530;0
-153;590;1;2;354;-515;-534;-530;0
-149;591;1;2;353;-515;-534;-529;0
-144;589;1;2;353;-515;-534;-530;0
-144;589;1;2;354;-515;-534;-530;0
-147;590;1;2;354;-515;-534;-530;0
-143;589;1;2;354;-515;-534;-529;0
-151;590;1;2;353;-515;-534;-530;0
-144;590;1;2;353;-516;-534;-529;0
-144;588;1;2;354;-516;-534;-530;0
-148;589;1;2;353;-515;-534;-530;0
-155;590;1;2;353;-516;-534;-530;0
-151;590;1;2;354;-516;-534;-529;0
-151;588;1;2;353;-516;-534;-529;0
-145;589;1;2;353;-516;-534;-530;0
-145;589;1;2;354;-515;-534;-529;0
-149;590;1;2;354;-516;-534;-530;0
-145;589;1;2;353;-516;-535;-530;0
-154;590;1;2;353;-515;-534;-530;0
-151;591;1;2;354;-515;-534;-529;0
-149;589;1;2;354;-516;-534;-529;0
-146;588;1;2;353;-516;-535;-530;0
-145;589;1;2;354;-515;-534;-529;0
-144;590;1;2;353;-516;-534;-530;0
-147;590;1;2;353;-515;-534;-530;0
-146;590;1;2;352;-516;-534;-529;0
-156;590;1;2;353;-516;-534;-530;0
-147;590;1;2;353;-515;-533;-529;0
-146;588;1;2;353;-515;-534;-530;0
-147;588;1;2;353;-515;-534;-529;0
-148;589;1;2;353;-516;-535;-530;0
-147;587;1;2;353;-515;-534;-529;0
-149;589;1;2;353;-516;-533;-530;0
-142;589;1;2;353;-515;-534;-529;0
-143;589;1;2;353;-515;-534;-529;0
-141;591;1;2;353;-515;-534;-530;0
-147;590;1;2;353;-516;-534;-529;0
-146;590;1;2;353;-515;-534;-529;0
-146;588;1;1;354;-515;-534;-530;0
-147;590;1;2;353;-516;-534;-530;0
-153;590;1;2;353;-516;-535;-529;0
-142;588;1;2;354;-515;-534;-529;0
-144;589;1;2;353;-515;-534;-529;0
-146;589;1;2;354;-515;-534;-529;0
-144;590;1;2;354;-516;-534;-530;0
-145;588;1;2;354;-516;-534;-530;0
-146;589;1;2;354;-515;-534;-529;0
-148;589;1;2;355;-516;-534;-529;0
-147;590;1;2;354;-515;-534;-530;0
-153;589;1;2;353;-515;-533;-530;0
-152;590;1;2;353;-515;-533;-530;0
-154;587;1;2;353;-515;-534;-529;0
-150;588;1;2;353;-515;-534;-529;0
-150;590;1;2;353;-515;-534;-530;0
-146;588;1;2;353;-515;-534;-529;0
-146;589;1;3;353;-515;-534;-529;0
-152;588;1;1;353;-515;-534;-529;0
-145;590;2;1;354;-515;-534;-529;0
-145;589;-2;-22;354;-515;-534;-533;0
-143;589;8;-1;354;-516;-534;-536;0
-154;587;-7;-3;360;-517;-532;-533;0
-157;589;-8;-85;444;-531;-515;-532;0
-174;589;-7;-192;529;-560;-503;-523;0
-189;584;0;-297;582;-574;-507;-493;0
-202;582;-20;-205;584;-615;-510;-467;0
-193;579;74;92;488;-634;-575;-470;0
-181;580;297;458;382;-516;-566;-574;0
-167;575;258;128;708;-460;-576;-592;0
-164;570;134;-35;596;-456;-604;-590;0
-152;567;156;-12;664;-473;-597;-577;0
-155;560;168;18;714;-492;-590;-570;0
-144;556;170;20;646;-508;-585;-569;0
-143;552;189;38;642;-518;-577;-571;0
-143;547;210;49;633;-524;-575;-575;0
-144;541;249;27;626;-528;-576;-570;0
-147;533;273;39;619;-534;-576;-553;0
-151;529;282;55;611;-546;-579;-534;0
-155;524;318;99;593;-553;-580;-520;0
-164;516;330;132;587;-554;-578;-510;0
-157;510;355;171;589;-551;-577;-506;0
-160;507;411;235;612;-535;-577;-508;0
-155;504;409;231;619;-519;-575;-509;0
-163;501;404;233;628;-514;-571;-502;0
-169;494;403;244;639;-524;-563;-494;0
-175;490;347;221;617;-540;-556;-486;0
-177;489;313;217;574;-559;-555;-479;0
-198;483;278;215;523;-574;-554;-473;0
-211;481;205;184;430;-582;-550;-467;0
-216;478;162;163;382;-585;-547;-460;0
-235;470;113;133;320;-593;-546;-451;0
-249;465;28;59;207;-605;-544;-434;0
-269;462;-8;52;170;-622;-544;-417;0
-279;458;-33;35;148;-619;-550;-413;0
-283;454;-72;-22;126;-594;-565;-419;0
-292;450;-94;-47;122;-567;-577;-432;0
-292;448;-126;-81;116;-540;-583;-445;0
-299;446;-218;-136;70;-526;-581;-456;0
-304;442;-252;-149;50;-526;-570;-467;0
-307;441;-267;-149;47;-531;-558;-475;0
-311;438;-259;-144;62;-539;-552;-481;0
-314;436;-221;-136;113;-547;-549;-486;0
-319;434;-200;-120;135;-552;-548;-491;0
-318;433;-175;-105;157;-552;-553;-497;0
-321;430;-129;-87;196;-549;-560;-500;0
-326;428;-112;-68;201;-542;-562;-502;0
-323;425;-103;-55;202;-538;-563;-504;0
-324;425;-94;-68;211;-534;-562;-504;0
-334;423;-94;-71;206;-529;-559;-505;0
-329;421;-95;-67;194;-527;-552;-506;0
-330;422;-88;-64;187;-524;-546;-509;0
-330;425;-81;-64;188;-521;-540;-512;0
-333;424;-76;-72;195;-518;-535;-513;0
-335;425;-59;-97;210;-518;-531;-513;0
-334;425;-49;-102;230;-522;-529;-513;0
-333;426;-42;-106;232;-526;-527;-513;0
