latitude(deg);longitude(deg);height(m);Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio
40096688481;-105147251645;15715158;2;8;18.842;21.802;46.267;-0.3679;-18.573;-19.097;0.99;0.0
40096689779;-105147257720;15710333;2;8;15.740;17.501;35.523;-0.7793;-10.548;-16.499;0.19;0.0
40096688989;-105147276580;15711066;2;8;12.444;13.973;29.922;-0.5175;-0.9597;-12.757;0.39;0.0
40096689058;-105147283654;15722978;2;8;10.636;11.987;25.656;-0.3970;-0.8821;-10.817;0.59;0.0
40096689654;-105147289440;15717998;2;8;0.9445;10.669;22.824;-0.3270;-0.8130;-0.9566;0.79;0.0
40096686488;-105147286929;15727444;2;8;0.8583;0.9710;20.765;-0.2809;-0.7558;-0.8672;0.99;0.0
40096684446;-105147293677;15732669;2;12;0.7645;0.8868;18.847;-0.2342;-0.7205;-0.7526;0.19;0.0
40096684163;-105147296019;15731528;2;13;0.6832;0.8234;16.990;-0.2019;-0.6844;-0.6160;0.39;0.0
40096682949;-105147296655;15730065;2;13;0.6371;0.7720;15.963;-0.1821;-0.6512;-0.5726;0.59;0.0
40096682499;-105147298424;15730943;2;13;0.5926;0.7292;14.905;-0.1656;-0.6213;-0.5034;0.79;0.0
40096681014;-105147298628;15736637;2;13;0.5628;0.6957;14.202;-0.1473;-0.5967;-0.4794;0.99;0.0
40096681259;-105147298457;15736207;2;13;0.5304;0.6639;13.399;-0.1384;-0.5732;-0.4383;0.19;0.0
40096680978;-105147298065;15739477;2;13;0.5079;0.6361;12.879;-0.1306;-0.5523;-0.4220;0.39;0.0
40096680252;-105147298336;15738458;2;13;0.4885;0.6116;12.506;-0.1237;-0.5330;-0.4037;0.59;0.0
40096679903;-105147298405;15739147;2;13;0.4669;0.5897;11.951;-0.1184;-0.5157;-0.3773;0.79;0.0
40096679973;-105147298149;15737264;2;13;0.4481;0.5699;11.464;-0.1137;-0.4998;-0.3549;0.99;0.0
40096680287;-105147296106;15736687;2;13;0.4342;0.5520;11.131;-0.1091;-0.4856;-0.3464;0.19;0.0
40096680100;-105147295677;15737630;2;13;0.4189;0.5357;10.735;-0.1055;-0.4721;-0.3286;0.39;0.0
40096680316;-105147295585;15738066;2;13;0.4075;0.5208;10.459;-0.1017;-0.4600;-0.3219;0.59;0.0
40096680749;-105147295536;15737890;2;13;0.3969;0.5070;10.203;-0.0983;-0.4487;-0.3156;0.79;0.0
40096680896;-105147295813;15738059;2;13;0.3871;0.4943;0.9965;-0.0952;-0.4382;-0.3096;0.99;0.0
40096681117;-105147295314;15738293;2;13;0.3792;0.4825;0.9758;-0.0937;-0.4278;-0.3067;0.19;0.0
40096681223;-105147294595;15737941;2;13;0.3718;0.4716;0.9564;-0.0922;-0.4180;-0.3037;0.39;0.0
40096681760;-105147294218;15737457;2;13;0.3637;0.4612;0.9366;-0.0895;-0.4094;-0.2983;0.59;0.0
40096681944;-105147293838;15737574;2;13;0.3561;0.4516;0.9179;-0.0871;-0.4013;-0.2931;0.79;0.0
40096682008;-105147293483;15737088;2;13;0.3490;0.4425;0.9003;-0.0848;-0.3936;-0.2882;0.99;0.0
40096682314;-105147293826;15735671;2;15;0.3402;0.4336;0.8785;-0.0837;-0.3860;-0.2781;0.19;0.0
40096682466;-105147293897;15735670;2;15;0.3323;0.4255;0.8583;-0.0822;-0.3789;-0.2690;0.39;0.0
40096682650;-105147294250;15735270;2;15;0.3251;0.4183;0.8394;-0.0798;-0.3724;-0.2608;0.59;0.0
40096682702;-105147294498;15735360;2;15;0.3195;0.4114;0.8258;-0.0772;-0.3664;-0.2576;0.79;0.0
40096683158;-105147294822;15734749;2;15;0.3130;0.4049;0.8089;-0.0751;-0.3605;-0.2504;0.99;0.0
40096683197;-105147294671;15735028;2;15;0.3075;0.3988;0.7938;-0.0745;-0.3543;-0.2450;1.19;0.0
40096683572;-105147294625;15734941;2;15;0.3016;0.3924;0.7787;-0.0734;-0.3487;-0.2386;0.39;0.0
40096684004;-105147294767;15734975;2;15;0.2960;0.3863;0.7644;-0.0724;-0.3433;-0.2327;0.59;0.0
40096684404;-105147294681;15734621;2;15;0.2908;0.3804;0.7508;-0.0714;-0.3381;-0.2271;0.79;0.0
40096684803;-105147295004;15734143;2;15;0.2858;0.3752;0.7380;-0.0697;-0.3333;-0.2220;0.99;0.0
40096685135;-105147295273;15733617;2;15;0.2812;0.3702;0.7257;-0.0680;-0.3287;-0.2172;1.19;0.0
40096685363;-105147295531;15733402;2;15;0.2767;0.3654;0.7140;-0.0664;-0.3243;-0.2127;0.39;0.0
40096685637;-105147295739;15733124;2;15;0.2724;0.3607;0.7029;-0.0649;-0.3200;-0.2084;0.59;0.0
40096686060;-105147295664;15732478;2;15;0.2683;0.3559;0.6921;-0.0642;-0.3157;-0.2043;0.79;0.0
40096686467;-105147295575;15731780;2;15;0.2643;0.3513;0.6819;-0.0635;-0.3115;-0.2004;0.99;0.0
40096686869;-105147295452;15730994;2;15;0.2604;0.3468;0.6720;-0.0627;-0.3077;-0.1965;1.19;0.0
40096687039;-105147295504;15731280;2;15;0.2574;0.3425;0.6647;-0.0617;-0.3040;-0.1954;0.39;0.0
40096687207;-105147295510;15731476;2;15;0.2545;0.3384;0.6577;-0.0608;-0.3005;-0.1943;0.59;0.0
40096687487;-105147295481;15731311;2;15;0.2512;0.3344;0.6489;-0.0601;-0.2970;-0.1911;0.79;0.0
40096687748;-105147295491;15731315;2;15;0.2480;0.3306;0.6405;-0.0594;-0.2935;-0.1881;0.99;0.0
40096688052;-105147295401;15731230;2;15;0.2449;0.3267;0.6320;-0.0584;-0.2907;-0.1851;0.19;0.0
40096688320;-105147295196;15730990;2;15;0.2419;0.3229;0.6238;-0.0575;-0.2879;-0.1822;0.39;0.0
40096688561;-105147295044;15730876;2;15;0.2390;0.3192;0.6159;-0.0566;-0.2852;-0.1795;0.59;0.0
40096688798;-105147294865;15730825;2;15;0.2363;0.3156;0.6082;-0.0557;-0.2825;-0.1769;0.79;0.0
40096689012;-105147294708;15730728;2;15;0.2336;0.3122;0.6009;-0.0548;-0.2799;-0.1744;0.99;0.0
40096689260;-105147294721;15730530;2;15;0.2310;0.3088;0.5937;-0.0540;-0.2773;-0.1720;0.19;0.0
40096689485;-105147294730;15730308;2;15;0.2284;0.3056;0.5868;-0.0532;-0.2748;-0.1697;0.39;0.0
40096689648;-105147294709;15730185;2;15;0.2260;0.3025;0.5802;-0.0524;-0.2723;-0.1675;0.59;0.0
40096689856;-105147294703;15729936;2;15;0.2236;0.2994;0.5737;-0.0517;-0.2699;-0.1655;0.79;0.0
40096690031;-105147294658;15729627;2;15;0.2213;0.2965;0.5674;-0.0509;-0.2675;-0.1635;0.99;0.0
40096690194;-105147294675;15729630;2;15;0.2191;0.2936;0.5613;-0.0502;-0.2652;-0.1615;0.19;0.0
40096690314;-105147294653;15729742;2;15;0.2169;0.2908;0.5554;-0.0495;-0.2629;-0.1597;0.39;0.0
40096690414;-105147294717;15730000;2;15;0.2148;0.2880;0.5497;-0.0488;-0.2607;-0.1579;0.59;0.0
40096690514;-105147294689;15730131;2;15;0.2127;0.2854;0.5441;-0.0481;-0.2585;-0.1562;0.79;0.0
40096690603;-105147294665;15730145;2;15;0.2107;0.2828;0.5387;-0.0475;-0.2563;-0.1546;0.99;0.0
40096690670;-105147294691;15730265;2;15;0.2088;0.2803;0.5334;-0.0468;-0.2542;-0.1530;1.19;0.0
40096690808;-105147294654;15730196;2;15;0.2069;0.2778;0.5282;-0.0462;-0.2521;-0.1515;0.39;0.0
40096690934;-105147294629;15730058;2;15;0.2050;0.2754;0.5232;-0.0455;-0.2501;-0.1500;0.59;0.0
40096691051;-105147294575;15729822;2;15;0.2032;0.2731;0.5183;-0.0449;-0.2481;-0.1486;0.79;0.0
40096691171;-105147294524;15729685;2;15;0.2015;0.2708;0.5135;-0.0443;-0.2461;-0.1472;0.99;0.0
40096691265;-105147294450;15729328;2;15;0.1997;0.2685;0.5088;-0.0437;-0.2442;-0.1459;0.19;0.0
40096691356;-105147294447;15729082;2;15;0.1980;0.2664;0.5042;-0.0431;-0.2422;-0.1446;0.39;0.0
40096691458;-105147294358;15728782;2;15;0.1964;0.2642;0.4998;-0.0425;-0.2404;-0.1434;0.59;0.0
40096691421;-105147294251;15728817;2;15;0.1950;0.2621;0.4962;-0.0418;-0.2386;-0.1431;0.79;0.0
40096691493;-105147294196;15728556;2;15;0.1934;0.2601;0.4920;-0.0413;-0.2368;-0.1420;0.99;0.0
40096691532;-105147294118;15728235;2;15;0.1919;0.2581;0.4878;-0.0407;-0.2350;-0.1408;1.19;0.0
40096691596;-105147294073;15728050;2;15;0.1904;0.2561;0.4837;-0.0402;-0.2333;-0.1397;0.39;0.0
40096691652;-105147294006;15727869;2;15;0.1889;0.2542;0.4797;-0.0396;-0.2315;-0.1386;0.59;0.0
40096691699;-105147293953;15727559;2;15;0.1874;0.2524;0.4758;-0.0391;-0.2298;-0.1376;0.79;0.0
40096691741;-105147293925;15727312;2;15;0.1860;0.2505;0.4719;-0.0385;-0.2282;-0.1366;0.99;0.0
40096691735;-105147293936;15727326;2;14;0.1848;0.2487;0.4689;-0.0379;-0.2266;-0.1364;0.19;0.0
40096691684;-105147293880;15727296;2;14;0.1837;0.2470;0.4658;-0.0372;-0.2250;-0.1362;0.39;0.0
40096691657;-105147293882;15727306;2;14;0.1825;0.2452;0.4628;-0.0366;-0.2235;-0.1361;0.59;0.0
40096691635;-105147293887;15727390;2;14;0.1814;0.2435;0.4599;-0.0359;-0.2220;-0.1358;0.79;0.0
40096691605;-105147293851;15727441;2;14;0.1803;0.2419;0.4570;-0.0353;-0.2205;-0.1356;0.99;0.0
40096691529;-105147293910;15727626;2;14;0.1792;0.2402;0.4541;-0.0347;-0.2190;-0.1354;0.19;0.0
40096691493;-105147294040;15727819;2;14;0.1781;0.2386;0.4512;-0.0341;-0.2175;-0.1352;0.39;0.0
40096691434;-105147294092;15727924;2;14;0.1770;0.2370;0.4484;-0.0335;-0.2161;-0.1350;0.59;0.0
40096691352;-105147294023;15727904;2;14;0.1760;0.2355;0.4457;-0.0329;-0.2146;-0.1348;0.79;0.0
40096691293;-105147294119;15728082;2;14;0.1749;0.2340;0.4430;-0.0323;-0.2132;-0.1345;0.99;0.0
40096691234;-105147294123;15728114;2;14;0.1739;0.2325;0.4403;-0.0317;-0.2119;-0.1343;1.19;0.0
40096691213;-105147294190;15728284;2;14;0.1729;0.2310;0.4377;-0.0312;-0.2105;-0.1340;1.39;0.0
40096691120;-105147294188;15728356;2;14;0.1719;0.2295;0.4351;-0.0306;-0.2091;-0.1338;0.59;0.0
40096691061;-105147294294;15728500;2;14;0.1710;0.2281;0.4325;-0.0300;-0.2078;-0.1335;0.79;0.0
40096691002;-105147294297;15728619;2;14;0.1700;0.2267;0.4299;-0.0295;-0.2065;-0.1333;0.99;0.0
40096690956;-105147294297;15728888;2;14;0.1690;0.2253;0.4274;-0.0289;-0.2052;-0.1330;1.19;0.0
40096690889;-105147294309;15729266;2;14;0.1681;0.2240;0.4249;-0.0284;-0.2039;-0.1328;0.39;0.0
40096690749;-105147294286;15729325;2;14;0.1672;0.2226;0.4225;-0.0278;-0.2026;-0.1325;0.59;0.0
40096690661;-105147294298;15729620;2;14;0.1663;0.2213;0.4200;-0.0272;-0.2013;-0.1323;0.79;0.0
40096690585;-105147294228;15729820;2;14;0.1654;0.2200;0.4176;-0.0267;-0.2001;-0.1320;0.99;0.0
40096690423;-105147294178;15729760;2;14;0.1645;0.2188;0.4152;-0.0259;-0.1988;-0.1318;0.19;0.0
40096690258;-105147294121;15729772;2;14;0.1636;0.2175;0.4129;-0.0253;-0.1976;-0.1315;0.39;0.0
40096690118;-105147294028;15729854;2;14;0.1628;0.2163;0.4106;-0.0245;-0.1964;-0.1313;0.59;0.0
40096690013;-105147294021;15730047;2;14;0.1619;0.2151;0.4083;-0.0237;-0.1952;-0.1310;0.79;0.0
40096689866;-105147293905;15730137;2;15;0.1611;0.2139;0.4060;-0.0228;-0.1941;-0.1307;0.99;0.0
40096689753;-105147293819;15730339;2;15;0.1603;0.2128;0.4037;-0.0220;-0.1930;-0.1305;1.19;0.0
40096689616;-105147293757;15730557;2;15;0.1595;0.2116;0.4016;-0.0215;-0.1918;-0.1302;1.39;0.0
40096689502;-105147293739;15730786;2;15;0.1587;0.2105;0.3993;-0.0207;-0.1907;-0.1299;0.59;0.0
40096689364;-105147293689;15730980;2;15;0.1579;0.2094;0.3972;-0.0199;-0.1896;-0.1297;0.79;0.0
40096689214;-105147293613;15730966;2;15;0.1571;0.2083;0.3950;-0.0191;-0.1885;-0.1294;0.99;0.0
40096689086;-105147293613;15731128;2;15;0.1563;0.2072;0.3929;-0.0182;-0.1873;-0.1292;0.19;0.0
40096688950;-105147293606;15731292;2;15;0.1556;0.2061;0.3908;-0.0174;-0.1862;-0.1289;0.39;0.0
40096688812;-105147293614;15731368;2;15;0.1548;0.2051;0.3887;-0.0165;-0.1852;-0.1286;0.59;0.0
40096688742;-105147293654;15731669;2;15;0.1541;0.2040;0.3866;-0.0156;-0.1841;-0.1284;0.79;0.0
40096688585;-105147293598;15731812;2;15;0.1533;0.2030;0.3846;-0.0147;-0.1830;-0.1281;0.99;0.0
40096688435;-105147293578;15731958;2;15;0.1529;0.2024;0.3835;-0.0152;-0.1825;-0.1273;0.19;0.0
40096688294;-105147293579;15732188;2;15;0.1521;0.2014;0.3823;-0.0149;-0.1820;-0.1268;0.39;0.0
40096688135;-105147293563;15732398;2;15;0.1514;0.2004;0.3808;-0.0149;-0.1813;-0.1262;0.59;0.0
40096687968;-105147293531;15732666;2;15;0.1507;0.1995;0.3793;-0.0150;-0.1805;-0.1256;0.79;0.0
40096687814;-105147293536;15732849;2;15;0.1501;0.1986;0.3778;-0.0152;-0.1798;-0.1251;0.99;0.0
40096687647;-105147293472;15732998;2;15;0.1495;0.1977;0.3764;-0.0154;-0.1791;-0.1245;0.19;0.0
40096687492;-105147293394;15733202;2;15;0.1488;0.1969;0.3750;-0.0156;-0.1784;-0.1239;0.39;0.0
40096687313;-105147293362;15733394;2;15;0.1482;0.1960;0.3736;-0.0158;-0.1778;-0.1234;0.59;0.0
40096687134;-105147293291;15733656;2;15;0.1476;0.1952;0.3723;-0.0160;-0.1772;-0.1228;0.79;0.0
40096686935;-105147293256;15733883;2;15;0.1470;0.1944;0.3709;-0.0161;-0.1765;-0.1223;0.99;0.0
40096686730;-105147293238;15734159;2;15;0.1464;0.1936;0.3696;-0.0163;-0.1759;-0.1217;1.19;0.0
40096686567;-105147293225;15734382;2;15;0.1458;0.1929;0.3683;-0.0165;-0.1753;-0.1212;0.39;0.0
40096686394;-105147293204;15734513;2;15;0.1453;0.1921;0.3671;-0.0167;-0.1747;-0.1208;0.59;0.0
40096686188;-105147293169;15734597;2;15;0.1448;0.1913;0.3659;-0.0169;-0.1741;-0.1205;0.79;0.0
40096686072;-105147293183;15734743;2;15;0.1443;0.1906;0.3649;-0.0171;-0.1735;-0.1201;0.99;0.0
40096685898;-105147293122;15734980;2;14;0.1438;0.1898;0.3640;-0.0172;-0.1728;-0.1196;0.19;0.0
40096685705;-105147293103;15735231;2;14;0.1434;0.1891;0.3630;-0.0173;-0.1722;-0.1192;0.39;0.0
40096685576;-105147293147;15735388;2;14;0.1429;0.1884;0.3620;-0.0174;-0.1716;-0.1187;0.59;0.0
40096685408;-105147293090;15735548;2;15;0.1424;0.1877;0.3611;-0.0176;-0.1710;-0.1183;0.79;0.0
40096685215;-105147293065;15735792;2;15;0.1420;0.1869;0.3601;-0.0178;-0.1704;-0.1179;0.99;0.0
40096685036;-105147293086;15736015;2;15;0.1415;0.1862;0.3592;-0.0180;-0.1698;-0.1175;1.19;0.0
40096684873;-105147293005;15736230;2;15;0.1410;0.1855;0.3582;-0.0182;-0.1693;-0.1170;0.39;0.0
40096684701;-105147292945;15736430;2;15;0.1406;0.1848;0.3572;-0.0184;-0.1687;-0.1166;0.59;0.0
40096684505;-105147292933;15736649;2;15;0.1401;0.1842;0.3563;-0.0185;-0.1681;-0.1162;0.79;0.0
40096684334;-105147292937;15736861;2;15;0.1397;0.1835;0.3554;-0.0187;-0.1675;-0.1158;0.99;0.0
40096684206;-105147292874;15737103;2;15;0.1392;0.1828;0.3544;-0.0189;-0.1669;-0.1153;0.19;0.0
40096684056;-105147292844;15737340;2;15;0.1388;0.1821;0.3535;-0.0190;-0.1664;-0.1149;0.39;0.0
40096683864;-105147292829;15737588;2;15;0.1383;0.1815;0.3526;-0.0192;-0.1658;-0.1145;0.59;0.0
40096683713;-105147292817;15737790;2;15;0.1379;0.1808;0.3516;-0.0193;-0.1652;-0.1141;0.79;0.0
40096683542;-105147292800;15738035;2;15;0.1374;0.1802;0.3507;-0.0195;-0.1647;-0.1137;0.99;0.0
40096683382;-105147292728;15738187;2;15;0.1370;0.1796;0.3498;-0.0196;-0.1641;-0.1133;1.19;0.0
40096683217;-105147292669;15738374;2;15;0.1365;0.1789;0.3489;-0.0198;-0.1636;-0.1129;1.39;0.0
40096683067;-105147292655;15738649;2;15;0.1361;0.1783;0.3480;-0.0199;-0.1630;-0.1125;0.59;0.0
40096682902;-105147292643;15738877;2;15;0.1356;0.1777;0.3471;-0.0201;-0.1625;-0.1121;0.79;0.0
40096682727;-105147292642;15739140;2;15;0.1352;0.1770;0.3461;-0.0202;-0.1619;-0.1117;0.99;0.0
40096682554;-105147292638;15739384;2;15;0.1348;0.1764;0.3452;-0.0204;-0.1614;-0.1112;0.19;0.0
40096682405;-105147292640;15739583;2;15;0.1343;0.1758;0.3443;-0.0205;-0.1608;-0.1108;0.39;0.0
40096682235;-105147292648;15739836;2;15;0.1339;0.1752;0.3434;-0.0206;-0.1603;-0.1104;0.59;0.0
40096682039;-105147292651;15740098;2;15;0.1335;0.1746;0.3425;-0.0208;-0.1597;-0.1100;0.79;0.0
40096681873;-105147292712;15740405;2;15;0.1330;0.1740;0.3416;-0.0209;-0.1592;-0.1097;0.99;0.0
40096681745;-105147292750;15740692;2;15;0.1326;0.1734;0.3407;-0.0210;-0.1587;-0.1093;0.19;0.0
40096681582;-105147292784;15740976;2;15;0.1322;0.1729;0.3398;-0.0211;-0.1581;-0.1089;0.39;0.0
40096681417;-105147292791;15741070;2;15;0.1317;0.1723;0.3387;-0.0213;-0.1576;-0.1086;0.59;0.0
40096681226;-105147292840;15741130;2;15;0.1313;0.1717;0.3377;-0.0214;-0.1571;-0.1082;0.79;0.0
40096681046;-105147292817;15741386;2;15;0.1309;0.1712;0.3368;-0.0215;-0.1565;-0.1079;0.99;0.0
40096680892;-105147292840;15741513;2;15;0.1305;0.1706;0.3357;-0.0216;-0.1560;-0.1075;0.19;0.0
40096680725;-105147292875;15741672;2;15;0.1300;0.1700;0.3347;-0.0217;-0.1555;-0.1072;0.39;0.0
40096680552;-105147292930;15741882;2;15;0.1296;0.1695;0.3336;-0.0219;-0.1550;-0.1069;0.59;0.0
40096680357;-105147292987;15742022;2;15;0.1292;0.1689;0.3326;-0.0220;-0.1544;-0.1066;0.79;0.0
40096680198;-105147293023;15742278;2;15;0.1288;0.1684;0.3317;-0.0221;-0.1539;-0.1062;0.99;0.0
40096680045;-105147293116;15742554;2;15;0.1284;0.1678;0.3308;-0.0222;-0.1534;-0.1058;0.19;0.0
40096679868;-105147293180;15742676;2;15;0.1279;0.1673;0.3298;-0.0223;-0.1529;-0.1055;0.39;0.0
40096679712;-105147293257;15742988;2;15;0.1275;0.1668;0.3289;-0.0224;-0.1524;-0.1052;0.59;0.0
40096679557;-105147293335;15743231;2;15;0.1271;0.1662;0.3279;-0.0225;-0.1518;-0.1049;0.79;0.0
40096679378;-105147293397;15743322;2;15;0.1267;0.1657;0.3269;-0.0226;-0.1513;-0.1045;0.99;0.0
40096679210;-105147293507;15743645;2;15;0.1263;0.1652;0.3260;-0.0227;-0.1508;-0.1042;0.19;0.0
40096679071;-105147293596;15743927;2;15;0.1259;0.1647;0.3251;-0.0228;-0.1503;-0.1038;0.39;0.0
40096678916;-105147293690;15744295;2;15;0.1255;0.1641;0.3243;-0.0229;-0.1498;-0.1034;0.59;0.0
40096678758;-105147293786;15744629;2;15;0.1251;0.1636;0.3234;-0.0230;-0.1493;-0.1031;0.79;0.0
40096678608;-105147293880;15744958;2;15;0.1247;0.1631;0.3225;-0.0231;-0.1488;-0.1027;0.99;0.0
40096678423;-105147293975;15745247;2;15;0.1243;0.1626;0.3217;-0.0231;-0.1482;-0.1024;0.19;0.0
40096678258;-105147294108;15745560;2;15;0.1239;0.1621;0.3208;-0.0232;-0.1477;-0.1020;0.39;0.0
40096678109;-105147294229;15745872;2;15;0.1235;0.1616;0.3199;-0.0233;-0.1472;-0.1016;0.59;0.0
40096677928;-105147294359;15746189;2;15;0.1231;0.1611;0.3191;-0.0234;-0.1467;-0.1013;0.79;0.0
40096677755;-105147294476;15746555;2;15;0.1227;0.1606;0.3182;-0.0234;-0.1462;-0.1009;0.99;0.0
40096677601;-105147294576;15746864;2;15;0.1223;0.1601;0.3173;-0.0235;-0.1457;-0.1006;0.19;0.0
40096677475;-105147294703;15747178;2;15;0.1219;0.1597;0.3165;-0.0236;-0.1452;-0.1002;0.39;0.0
40096677313;-105147294776;15747468;2;15;0.1215;0.1592;0.3156;-0.0236;-0.1447;-0.0999;0.59;0.0
40096677155;-105147294843;15747708;2;15;0.1211;0.1587;0.3148;-0.0237;-0.1442;-0.0996;0.79;0.0
40096676989;-105147294923;15748002;2;15;0.1207;0.1582;0.3139;-0.0238;-0.1437;-0.0992;0.99;0.0
40096676841;-105147295009;15748250;2;15;0.1203;0.1577;0.3130;-0.0239;-0.1431;-0.0988;0.19;0.0
40096676678;-105147295094;15748538;2;15;0.1199;0.1573;0.3122;-0.0241;-0.1426;-0.0985;0.39;0.0
40096676525;-105147295183;15748854;2;15;0.1195;0.1568;0.3113;-0.0243;-0.1421;-0.0981;0.59;0.0
40096676405;-105147295366;15749132;2;15;0.1191;0.1563;0.3104;-0.0244;-0.1416;-0.0977;0.79;0.0
40096676274;-105147295484;15749415;2;15;0.1187;0.1558;0.3096;-0.0245;-0.1411;-0.0974;0.99;0.0
40096676113;-105147295616;15749787;2;15;0.1183;0.1554;0.3087;-0.0247;-0.1406;-0.0970;0.19;0.0
40096675971;-105147295750;15750132;2;15;0.1178;0.1549;0.3078;-0.0248;-0.1400;-0.0967;0.39;0.0
40096675854;-105147295877;15750483;2;15;0.1174;0.1544;0.3070;-0.0249;-0.1395;-0.0963;0.59;0.0
40096675712;-105147296031;15750824;2;15;0.1170;0.1540;0.3061;-0.0251;-0.1390;-0.0960;0.79;0.0
40096675569;-105147296140;15751152;2;15;0.1166;0.1535;0.3053;-0.0252;-0.1385;-0.0956;0.99;0.0
40096675427;-105147296350;15751491;2;15;0.1162;0.1531;0.3044;-0.0253;-0.1380;-0.0953;0.19;0.0
40096675315;-105147296515;15751884;2;15;0.1158;0.1526;0.3035;-0.0254;-0.1375;-0.0949;0.39;0.0
40096675190;-105147296680;15752278;2;15;0.1154;0.1522;0.3027;-0.0255;-0.1370;-0.0946;0.59;0.0
40096675084;-105147296847;15752474;2;15;0.1150;0.1517;0.3017;-0.0256;-0.1365;-0.0943;0.79;0.0
40096674929;-105147296996;15752866;2;15;0.1147;0.1513;0.3008;-0.0257;-0.1359;-0.0940;0.99;0.0
40096674770;-105147297130;15753255;2;15;0.1143;0.1508;0.3000;-0.0258;-0.1354;-0.0936;1.19;0.0
40096674611;-105147297279;15753625;2;15;0.1139;0.1504;0.2991;-0.0259;-0.1349;-0.0933;0.39;0.0
40096674467;-105147297511;15754015;2;15;0.1135;0.1500;0.2983;-0.0260;-0.1344;-0.0930;0.59;0.0
40096674352;-105147297696;15754377;2;15;0.1131;0.1495;0.2974;-0.0261;-0.1339;-0.0927;0.79;0.0
40096674223;-105147297893;15754776;2;15;0.1127;0.1491;0.2966;-0.0262;-0.1334;-0.0923;0.99;0.0
40096674090;-105147298082;15755162;2;15;0.1123;0.1487;0.2957;-0.0263;-0.1329;-0.0920;1.19;0.0
40096673902;-105147298281;15755575;2;15;0.1120;0.1482;0.2949;-0.0263;-0.1324;-0.0917;0.39;0.0
40096673789;-105147298528;15755952;2;15;0.1116;0.1478;0.2940;-0.0264;-0.1319;-0.0914;0.59;0.0
40096673643;-105147298746;15756416;2;15;0.1112;0.1474;0.2932;-0.0265;-0.1314;-0.0911;0.79;0.0
40096673503;-105147298951;15756833;2;15;0.1108;0.1470;0.2923;-0.0265;-0.1309;-0.0908;0.99;0.0
40096673360;-105147299156;15757210;2;15;0.1104;0.1466;0.2915;-0.0266;-0.1304;-0.0905;0.19;0.0
40096673259;-105147299319;15757581;2;15;0.1101;0.1461;0.2906;-0.0267;-0.1299;-0.0901;0.39;0.0
40096673149;-105147299497;15757918;2;15;0.1097;0.1457;0.2898;-0.0267;-0.1294;-0.0898;0.59;0.0
40096673038;-105147299699;15758285;2;15;0.1093;0.1453;0.2889;-0.0268;-0.1289;-0.0895;0.79;0.0
40096672914;-105147299925;15758677;2;15;0.1090;0.1449;0.2881;-0.0268;-0.1284;-0.0892;0.99;0.0
40096672773;-105147300076;15758978;2;15;0.1086;0.1445;0.2872;-0.0269;-0.1279;-0.0889;0.19;0.0
40096672676;-105147300263;15759348;2;15;0.1082;0.1441;0.2864;-0.0269;-0.1274;-0.0887;0.39;0.0
40096672610;-105147300509;15759664;2;15;0.1078;0.1437;0.2855;-0.0270;-0.1269;-0.0884;0.59;0.0
40096672462;-105147300690;15760074;2;15;0.1075;0.1433;0.2847;-0.0270;-0.1264;-0.0881;0.79;0.0
40096672355;-105147300879;15760448;2;15;0.1071;0.1429;0.2839;-0.0271;-0.1259;-0.0878;0.99;0.0
40096672280;-105147301196;15760883;2;15;0.1068;0.1425;0.2830;-0.0271;-0.1254;-0.0875;0.19;0.0
40096672160;-105147301455;15761279;2;15;0.1064;0.1421;0.2822;-0.0271;-0.1249;-0.0872;0.39;0.0
40096672040;-105147301698;15761720;2;15;0.1060;0.1417;0.2811;-0.0272;-0.1244;-0.0868;0.59;0.0
40096671910;-105147301867;15762193;2;15;0.1056;0.1413;0.2800;-0.0272;-0.1239;-0.0863;0.79;0.0
40096671834;-105147302114;15762508;2;15;0.1053;0.1410;0.2792;-0.0273;-0.1234;-0.0860;0.99;0.0
40096671721;-105147302291;15762861;2;15;0.1049;0.1406;0.2784;-0.0273;-0.1229;-0.0858;0.19;0.0
40096671624;-105147302512;15763248;2;15;0.1045;0.1402;0.2775;-0.0273;-0.1224;-0.0855;0.39;0.0
40096671525;-105147302785;15763596;2;15;0.1042;0.1398;0.2767;-0.0273;-0.1219;-0.0852;0.59;0.0
40096671394;-105147302973;15763989;2;15;0.1038;0.1394;0.2759;-0.0274;-0.1214;-0.0850;0.79;0.0
40096671325;-105147303236;15764365;2;15;0.1035;0.1391;0.2751;-0.0274;-0.1210;-0.0847;0.99;0.0
40096671255;-105147303439;15764668;2;15;0.1031;0.1387;0.2742;-0.0274;-0.1205;-0.0844;0.19;0.0
40096671141;-105147303644;15765023;2;15;0.1028;0.1383;0.2734;-0.0274;-0.1200;-0.0842;0.39;0.0
40096671040;-105147303900;15765376;2;15;0.1024;0.1379;0.2726;-0.0274;-0.1195;-0.0839;0.59;0.0
40096670953;-105147304115;15765708;2;15;0.1021;0.1376;0.2717;-0.0274;-0.1190;-0.0837;0.79;0.0
40096670861;-105147304291;15766022;2;15;0.1018;0.1372;0.2709;-0.0275;-0.1185;-0.0834;0.99;0.0
40096670776;-105147304460;15766271;2;15;0.1014;0.1368;0.2701;-0.0275;-0.1180;-0.0832;0.19;0.0
