latitude(deg);longitude(deg);height(m);Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio
40019940314;-105253881644;15914152;1;14;0.0066;0.0058;0.0120;0.0028;-0.0037;-0.0018;0.39;22.1
40019940328;-105253881665;15914216;1;14;0.0066;0.0059;0.0121;0.0028;-0.0037;-0.0018;0.59;22.2
40019940341;-105253881654;15914240;1;14;0.0066;0.0059;0.0121;0.0028;-0.0037;-0.0018;0.79;22.2
40019940363;-105253881636;15914167;1;14;0.0066;0.0059;0.0122;0.0028;-0.0037;-0.0018;0.99;22.3
40019940378;-105253881605;15914174;1;15;0.0067;0.0059;0.0123;0.0028;-0.0037;-0.0019;1.19;22.4
40019940325;-105253881608;15914169;1;15;0.0064;0.0057;0.0119;0.0024;-0.0033;-0.0007;0.39;22.4
40019940314;-105253881595;15914171;1;15;0.0063;0.0055;0.0117;0.0021;-0.0028;0.0014;0.59;22.4
40019940287;-105253881537;15914204;1;15;0.0063;0.0055;0.0115;0.0019;-0.0025;0.0019;0.79;22.5
40019940235;-105253881457;15914182;1;15;0.0063;0.0055;0.0115;0.0019;-0.0023;0.0021;0.99;22.6
40019940140;-105253881381;15914183;1;15;0.0062;0.0054;0.0113;0.0018;-0.0022;0.0022;0.19;22.6
40019940048;-105253881286;15914175;1;15;0.0062;0.0054;0.0112;0.0018;-0.0021;0.0023;0.39;22.7
40019940008;-105253881243;15914175;1;15;0.0062;0.0054;0.0112;0.0018;-0.0020;0.0023;0.59;22.8
40019939911;-105253881072;15914148;1;15;0.0063;0.0054;0.0112;0.0017;-0.0020;0.0023;0.79;22.8
40019939767;-105253880914;15914132;1;15;0.0063;0.0055;0.0113;0.0017;-0.0019;0.0024;0.99;22.9
40019939554;-105253880682;15914108;1;15;0.0063;0.0054;0.0111;0.0018;-0.0013;0.0029;0.19;3.5
40019939306;-105253880425;15914048;1;15;0.0063;0.0054;0.0111;0.0017;-0.0013;0.0028;0.39;3.8
40019939049;-105253880069;15914083;1;15;0.0062;0.0054;0.0111;0.0016;-0.0014;0.0028;0.59;4.0
40019938760;-105253879712;15914085;1;15;0.0062;0.0054;0.0111;0.0016;-0.0014;0.0027;0.79;4.3
40019938497;-105253879328;15914137;1;14;0.0064;0.0054;0.0112;0.0018;-0.0012;0.0029;0.99;4.5
40019938176;-105253878950;15914097;1;14;0.0063;0.0054;0.0111;0.0018;-0.0013;0.0029;0.19;4.7
40019937810;-105253878488;15914040;1;14;0.0063;0.0054;0.0111;0.0018;-0.0013;0.0029;0.39;4.9
40019937466;-105253878097;15914037;1;14;0.0063;0.0054;0.0111;0.0018;-0.0013;0.0029;0.59;5.2
