col1,col2
18:27.0,1923
18:27.0,1911
18:27.0,1906
18:27.0,1897
18:27.0,1895
18:27.0,1893
18:27.0,1890
18:27.0,1871
18:27.0,1854
18:27.0,1839
18:27.0,1836
18:27.0,1846
18:27.0,1851
18:27.0,1863
18:27.0,1864
18:27.0,1870
18:27.0,1878
18:27.0,1875
18:27.1,1871
18:27.1,1877
18:27.1,1863
18:27.1,1854
18:27.1,1853
18:27.1,1856
18:27.1,1855
18:27.1,1847
18:27.1,1846
18:27.1,1853
18:27.1,1856
18:27.1,1859
18:27.1,1859
18:27.1,1842
18:27.1,1842
18:27.1,1843
18:27.1,1862
18:27.1,1867
18:27.1,1872
18:27.1,1884
18:27.1,1891
18:27.1,1908
18:27.1,1939
18:27.1,1979
18:27.1,1979
18:27.1,1957
18:27.1,1944
18:27.1,1904
18:27.1,1899
18:27.1,1902
18:27.1,1907
18:27.1,1915
18:27.1,1914
18:27.1,1909
18:27.1,1922
18:27.1,1939
18:27.1,1947
18:27.1,1930
18:27.1,1928
18:27.1,1923
18:27.1,1924
18:27.1,1926
18:27.1,1931
18:27.1,1923
18:27.1,1921
18:27.1,1913
18:27.1,1908
18:27.1,1894
18:27.1,1884
18:27.1,1925
18:27.1,1895
18:27.2,1858
18:27.2,1845
18:27.2,1858
18:27.2,1892
18:27.2,1921
18:27.2,1887
18:27.2,1884
18:27.2,1900
18:27.2,1907
18:27.2,1904
18:27.2,1917
18:27.2,1923
18:27.2,1915
18:27.2,1918
18:27.2,1917
18:27.2,1905
18:27.2,1882
18:27.2,1863
18:27.2,1868
18:27.2,1911
18:27.2,1942
18:27.2,1987
18:27.2,1918
18:27.2,1923
18:27.2,1924
18:27.2,1925
18:27.2,1924
18:27.2,1924
18:27.2,1923
18:27.2,1923
18:27.2,1914
18:27.2,1922
18:27.2,1919
18:27.2,1906
18:27.2,1921
18:27.2,1937
18:27.2,1928
18:27.2,1899
18:27.2,1848
18:27.2,1795
18:27.2,1772
18:27.2,1773
18:27.2,1782
18:27.2,1803
18:27.2,1838
18:27.2,1873
18:27.2,1883
18:27.2,1876
18:27.2,1876
18:27.2,1896
18:27.2,1937
18:27.3,1923
18:27.3,1889
18:27.3,1902
18:27.3,1876
18:27.3,1856
18:27.3,1845
18:27.3,1828
18:27.3,1814
18:27.3,1791
18:27.3,1801
18:27.3,1828
18:27.3,1809
18:27.3,1776
18:27.3,1877
18:27.3,1922
18:27.3,1940
18:27.3,2011
18:27.3,2037
18:27.3,2054
18:27.3,2028
18:27.3,1935
18:27.3,1882
18:27.3,1908
18:27.3,1976
18:27.3,2011
18:27.3,1943
18:27.3,1908
18:27.3,1934
18:27.3,1913
18:27.3,1897
18:27.3,1895
18:27.3,1918
18:27.3,1929
18:27.3,1933
18:27.3,1922
18:27.3,1902
18:27.3,1896
18:27.3,1935
18:27.3,1999
18:27.3,1960
18:27.3,1864
18:27.3,1843
18:27.3,1926
18:27.3,1980
18:27.3,1960
18:27.3,1892
18:27.3,1842
18:27.3,1823
18:27.3,1903
18:27.3,1956
18:27.3,1962
18:27.3,1967
18:27.4,1936
18:27.4,1905
18:27.4,1901
18:27.4,1905
18:27.4,1894
18:27.4,1837
18:27.4,1811
18:27.4,1818
18:27.4,1835
18:27.4,1842
18:27.4,1867
18:27.4,1947
18:27.4,1951
18:27.4,1997
18:27.4,2021
18:27.4,2014
18:27.4,1966
18:27.4,1929
18:27.4,1922
18:27.4,1932
18:27.4,1973
18:27.4,1990
18:27.4,1958
18:27.4,1910
18:27.4,1882
18:27.4,1894
18:27.4,1939
18:27.4,1959
18:27.4,1972
18:27.4,1960
18:27.4,1955
18:27.4,1944
18:27.4,1929
18:27.4,1923
18:27.4,1927
18:27.4,1903
18:27.4,1915
18:27.4,1965
18:27.4,2005
18:27.4,2020
18:27.4,1986
18:27.4,1957
18:27.4,1967
18:27.4,1961
18:27.4,1962
18:27.4,1961
18:27.4,1966
18:27.4,1956
18:27.4,1933
18:27.4,1909
18:27.4,1883
18:27.5,1863
18:27.5,1847
18:27.5,1842
18:27.5,1853
18:27.5,1863
18:27.5,1898
18:27.5,1916
18:27.5,1929
18:27.5,1935
18:27.5,1937
18:27.5,1933
18:27.5,1922
18:27.5,1908
18:27.5,1879
18:27.5,1843
18:27.5,1818
18:27.5,1830
18:27.5,1835
18:27.5,1823
18:27.5,1793
18:27.5,1804
18:27.5,1820
18:27.5,1830
18:27.5,1869
18:27.5,1895
18:27.5,1943
18:27.5,2002
18:27.5,2029
18:27.5,1993
18:27.5,1917
18:27.5,1897
18:27.5,1954
18:27.5,1984
18:27.5,1995
18:27.5,1986
18:27.5,1963
18:27.5,1919
18:27.5,1902
18:27.5,1925
18:27.5,1926
18:27.5,1926
18:27.5,1923
18:27.5,1921
18:27.5,1955
18:27.5,1978
18:27.5,1951
18:27.5,1902
18:27.5,1870
18:27.5,1888
18:27.5,1909
18:27.5,1891
18:27.6,1878
18:27.6,1890
18:27.6,1901
18:27.6,1907
18:27.6,1876
18:27.6,1863
18:27.6,1876
18:27.6,1892
18:27.6,1889
18:27.6,1915
18:27.6,1922
18:27.6,1916
18:27.6,1898
18:27.6,1895
18:27.6,1905
18:27.6,1900
18:27.6,1883
18:27.6,1864
18:27.6,1851
18:27.6,1852
18:27.6,1864
18:27.6,1865
18:27.6,1889
18:27.6,1932
18:27.6,1932
18:27.6,1944
18:27.6,1983
18:27.6,2030
18:27.6,2054
18:27.6,2005
18:27.6,1953
18:27.6,1933
18:27.6,1930
18:27.6,1967
18:27.6,1974
18:27.6,1920
18:27.6,1906
18:27.6,1925
18:27.6,1934
18:27.6,1955
18:27.6,1963
18:27.6,1967
18:27.6,1976
18:27.6,1963
18:27.6,1948
18:27.6,1946
18:27.6,1964
18:27.6,1970
18:27.6,1978
18:27.6,1983
18:27.6,1979
18:27.7,1973
18:27.7,1959
18:27.7,1949
18:27.7,1919
18:27.7,1892
18:27.7,1862
18:27.7,1869
18:27.7,1883
18:27.7,1883
18:27.7,1913
18:27.7,1923
18:27.7,1929
18:27.7,1935
18:27.7,1924
18:27.7,1898
18:27.7,1907
18:27.7,1902
18:27.7,1902
18:27.7,1914
18:27.7,1926
18:27.7,1904
18:27.7,1935
18:27.7,1975
18:27.7,1959
18:27.7,1981
18:27.7,2019
18:27.7,2079
18:27.7,2077
18:27.7,2005
18:27.7,1950
18:27.7,1907
18:27.7,1930
18:27.7,1944
18:27.7,1957
18:27.7,1934
18:27.7,1912
18:27.7,1927
18:27.7,1949
18:27.7,1956
18:27.7,1967
18:27.7,1969
18:27.7,1981
18:27.7,1967
18:27.7,1955
18:27.7,1961
18:27.7,1975
18:27.7,1967
18:27.7,1966
18:27.7,1981
18:27.7,1983
18:27.7,1948
18:27.8,1943
18:27.8,1929
18:27.8,1921
18:27.8,1922
18:27.8,1934
18:27.8,1922
18:27.8,1902
18:27.8,1894
18:27.8,1892
18:27.8,1928
18:27.8,1975
18:27.8,1993
18:27.8,1965
18:27.8,1900
18:27.8,1846
